makeId,name,niceName,mode:id,model:name,model:niceName,PI
200347864,AM General,am-general,AM_General_Hummer,Hummer,hummer,4
200002038,Acura,acura,Acura_CL,CL,cl,4
200002038,Acura,acura,Acura_ILX,ILX,ilx,4
200002038,Acura,acura,Acura_ILX_Hybrid,ILX Hybrid,ilx-hybrid,4
200002038,Acura,acura,Acura_Integra,Integra,integra,4
200002038,Acura,acura,Acura_Legend,Legend,legend,4
200002038,Acura,acura,Acura_MDX,MDX,mdx,4
200002038,Acura,acura,Acura_NSX,NSX,nsx,4
200002038,Acura,acura,Acura_RDX,RDX,rdx,4
200002038,Acura,acura,Acura_RL,RL,rl,4
200002038,Acura,acura,Acura_RLX,RLX,rlx,4
200002038,Acura,acura,Acura_RSX,RSX,rsx,4
200002038,Acura,acura,Acura_SLX,SLX,slx,4
200002038,Acura,acura,Acura_TL,TL,tl,4
200002038,Acura,acura,Acura_TLX,TLX,tlx,4
200002038,Acura,acura,Acura_TSX,TSX,tsx,4
200002038,Acura,acura,Acura_TSX_Sport_Wagon,TSX Sport Wagon,tsx-sport-wagon,4
200002038,Acura,acura,Acura_Vigor,Vigor,vigor,4
200002038,Acura,acura,Acura_ZDX,ZDX,zdx,4
200464140,Alfa Romeo,alfa-romeo,Alfa_Romeo_4C,4C,4c,4
200001769,Aston Martin,aston-martin,Aston_Martin_DB7,DB7,db7,4
200001769,Aston Martin,aston-martin,Aston_Martin_DB9,DB9,db9,4
200001769,Aston Martin,aston-martin,Aston_Martin_DB9_GT,DB9 GT,db9-gt,4
200001769,Aston Martin,aston-martin,Aston_Martin_DBS,DBS,dbs,4
200001769,Aston Martin,aston-martin,Aston_Martin_Rapide,Rapide,rapide,4
200001769,Aston Martin,aston-martin,Aston_Martin_Rapide_S,Rapide S,rapide-s,4
200001769,Aston Martin,aston-martin,Aston_Martin_V12_Vanquish,V12 Vanquish,v12-vanquish,4
200001769,Aston Martin,aston-martin,Aston_Martin_V12_Vantage,V12 Vantage,v12-vantage,4
200001769,Aston Martin,aston-martin,Aston_Martin_V12_Vantage_S,V12 Vantage S,v12-vantage-s,4
200001769,Aston Martin,aston-martin,Aston_Martin_V8_Vantage,V8 Vantage,v8-vantage,4
200001769,Aston Martin,aston-martin,Aston_Martin_Vanquish,Vanquish,vanquish,4
200001769,Aston Martin,aston-martin,Aston_Martin_Virage,Virage,virage,4
200000001,Audi,audi,Audi_100,100,100,4
200000001,Audi,audi,Audi_200,200,200,4
200000001,Audi,audi,Audi_80,80,80,4
